date,Campaign,Ad group,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Final URL,Impressions,Clicks,CTR,Avg. CPC,Cost,Conversions,Conv. rate,Quality Score,Search Impression Share
{{T-2d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2884,90,0.031207,9.49,854.31,2.0,0.022222,5,0.2766
{{T-1d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4925,321,0.065178,4.19,1345.61,18.0,0.056075,9,0.7241
{{T-1d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,4030,262,0.065012,4.2,1100.96,14.0,0.053435,9,0.7241
{{T-1d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,7074,299,0.042267,7.3,2182.78,14.0,0.046823,7,0.4118
{{T-1d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,5787,245,0.042336,7.29,1785.91,12.0,0.04898,7,0.4118
{{T-1d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3596,112,0.031146,9.51,1065.26,3.0,0.026786,5,0.2766
{{T-1d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2942,92,0.031271,9.47,871.57,2.0,0.021739,5,0.2766
{{T+0d}},Brand — Core,Brand — Exact,Orrery Incident Management,On-Call Without the Noise,Try Orrery Free for 14 Days,"Clear Ownership, Fast Fixes",Orrery — Official Site,,,,,,,,,,,Route every incident to the right owner in seconds. Start free.,"Clear ownership, fast response, and a learning loop after every page.",,,https://orrery.example/,4883,318,0.065124,4.2,1335.92,18.0,0.056604,9,0.7241
{{T+0d}},Brand — Core,Brand — Exact,Orrery Official Site,"Incident Response, Simplified",See Orrery in 10 Minutes,Built for Platform Teams,Start Free — No Card,,,,,,,,,,,See how platform teams run a calmer on-call rotation with Orrery.,"Set up schedules, routing, and reviews in a single afternoon.",,,https://orrery.example/,3996,260,0.065065,4.2,1093.02,14.0,0.053846,9,0.7241
{{T+0d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Incident Management Tool,Cut MTTR in Half,On-Call Without the Noise,Route Pages to the Owner,Free 14-Day Trial,,,,,,,,,,,Cut mean time to resolution without paging half the company.,"Ownership, routing, and review in one place. Free for 14 days.",,,https://orrery.example/product/incident-response,17080,664,0.038876,8.17,5423.04,17.0,0.025602,7,0.4118
{{T+0d}},Nonbrand — Incident Mgmt,Nonbrand — Incident Response,Modern Incident Response,"Fewer Pages, Faster Fixes",Try It Free for 14 Days,Own the On-Call Rotation,Set Up in One Afternoon,,,,,,,,,,,"Fewer pages, faster fixes, and a review that actually gets written.",Built for platform teams that own their on-call rotation.,,,https://orrery.example/product/incident-response,13974,544,0.038929,8.16,4437.03,14.0,0.025735,7,0.4118
{{T+0d}},Competitor — Conquest,Competitor — Alternatives,Switch to Orrery,A Calmer On-Call Rotation,Migrate in One Afternoon,"Incident Response, Rebuilt",Compare Orrery Free,,,,,,,,,,,Import your schedules and switch in one afternoon. No re-training.,"A calmer rotation, clearer ownership, and reviews that stick.",,,https://orrery.example/compare,3543,111,0.031329,9.45,1048.96,3.0,0.027027,5,0.2766
{{T+0d}},Competitor — Conquest,Competitor — Alternatives,Looking for Alternatives?,Orrery for Platform Teams,Import Your Schedules,Two-Week Free Trial,Book a 20-Minute Demo,,,,,,,,,,,"Compare incident response tools on ownership, routing, and review.",Two-week free trial. Bring your schedules; keep your workflow.,,,https://orrery.example/compare,2899,90,0.031045,9.54,858.24,2.0,0.022222,5,0.2766
